API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Jul 20 21:41:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:50:00.0000 TDB
Step-size       : 20 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260720.p261016
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-20. PREDICTS-> 2026-OCT-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.583333333, A.D. 2026-Apr-02 02:00:00.0000, -2.460259791031141E+04, -1.292928212541314E+04, -7.037263717819866E+03, -1.807002964285140E+00, -3.401038177652599E+00, -1.839020942093712E+00,
2461132.597222222, A.D. 2026-Apr-02 02:20:00.0000, -2.650379388721227E+04, -1.685961889645178E+04, -9.162231731760692E+03, -1.383398331769041E+00, -3.154975263512901E+00, -1.705392951955892E+00,
2461132.611111111, A.D. 2026-Apr-02 02:40:00.0000, -2.796566396657102E+04, -2.051318143137480E+04, -1.113676454334571E+04, -1.067178882289408E+00, -2.938828088159197E+00, -1.587976888168417E+00,
2461132.625000000, A.D. 2026-Apr-02 03:00:00.0000, -2.909264592531087E+04, -2.392261586837762E+04, -1.297873995235880E+04, -8.205454612341572E-01, -2.747229666132172E+00, -1.483983283666544E+00,
2461132.638888889, A.D. 2026-Apr-02 03:20:00.0000, -2.995260065683079E+04, -2.711458815844321E+04, -1.470278747453187E+04, -6.194827244841234E-01, -2.575638022108170E+00, -1.390972839471488E+00,
2461132.652777778, A.D. 2026-Apr-02 03:40:00.0000, -3.058243349568242E+04, -3.011056120593216E+04, -1.632300487519964E+04, -4.396192209117614E-01, -2.420193339261189E+00, -1.307641575125357E+00,
2461132.666666667, A.D. 2026-Apr-02 04:00:00.0000, -3.102403350043977E+04, -3.292800939283858E+04, -1.784513113761172E+04, -3.000574237910761E-01, -2.277526324243268E+00, -1.230308688476369E+00,
2461132.680555556, A.D. 2026-Apr-02 04:20:00.0000, -3.131035229343945E+04, -3.558094597312485E+04, -1.927809610738528E+04, -1.800043683161189E-01, -2.145678917338830E+00, -1.158860317399772E+00,
2461132.694444444, A.D. 2026-Apr-02 04:40:00.0000, -3.146217318831654E+04, -3.808125859361391E+04, -2.062836373694425E+04, -7.531122247353426E-02, -2.022892770913644E+00, -1.092337972357940E+00,
