API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Jul 20 21:41:45 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:50:00.0000 TDB
Step-size       : 20 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260720.p261016
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-20. PREDICTS-> 2026-OCT-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.583333333, A.D. 2026-Apr-02 02:00:00.0000, -3.846659225866499E+05, -6.634378986849103E+04, -5.023550808563193E+04,  1.712789535016435E-01, -8.742218148660237E-01, -4.633897746071352E-01,
2461132.597222222, A.D. 2026-Apr-02 02:20:00.0000, -3.844585770635431E+05, -6.739254273849420E+04, -5.079133688990144E+04,  1.742964597706795E-01, -8.736982725923627E-01, -4.629908506324006E-01,
2461132.611111111, A.D. 2026-Apr-02 02:40:00.0000, -3.842476121890209E+05, -6.844066245474602E+04, -5.134668441200990E+04,  1.773112014905091E-01, -8.731665604040048E-01, -4.625876388091919E-01,
2461132.625000000, A.D. 2026-Apr-02 03:00:00.0000, -3.840330312962616E+05, -6.948813921980624E+04, -5.190154551063904E+04,  1.803231524731777E-01, -8.726266890737895E-01, -4.621801459758818E-01,
2461132.638888889, A.D. 2026-Apr-02 03:20:00.0000, -3.838148377498305E+05, -7.053496324919950E+04, -5.245591505269528E+04,  1.833322865949923E-01, -8.720786694366850E-01, -4.617683790017996E-01,
2461132.652777778, A.D. 2026-Apr-02 03:40:00.0000, -3.835930349456025E+05, -7.158112477148941E+04, -5.300978791334669E+04,  1.863385777966722E-01, -8.715225123894850E-01, -4.613523447870631E-01,
2461132.666666667, A.D. 2026-Apr-02 04:00:00.0000, -3.833676263106852E+05, -7.262661402835275E+04, -5.356315897605987E+04,  1.893420000834976E-01, -8.709582288905062E-01, -4.609320502624091E-01,
2461132.680555556, A.D. 2026-Apr-02 04:20:00.0000, -3.831386153033410E+05, -7.367142127465294E+04, -5.411602313263658E+04,  1.923425275254568E-01, -8.703858299592859E-01, -4.605075023890238E-01,
2461132.694444444, A.D. 2026-Apr-02 04:40:00.0000, -3.829060054129090E+05, -7.471553677851350E+04, -5.466837528325022E+04,  1.953401342573903E-01, -8.698053266762775E-01, -4.600787081583746E-01,
2461132.708333333, A.D. 2026-Apr-02 05:00:00.0000, -3.826698001597282E+05, -7.575895082139090E+04, -5.522021033648200E+04,  1.983347944791337E-01, -8.692167301825479E-01, -4.596456745920399E-01,
2461132.722222222, A.D. 2026-Apr-02 05:20:00.0000, -3.824300030950581E+05, -7.680165369814710E+04, -5.577152320935706E+04,  2.013264824556588E-01, -8.686200516794728E-01, -4.592084087415402E-01,
2461132.736111111, A.D. 2026-Apr-02 05:40:00.0000, -3.821866178010014E+05, -7.784363571712167E+04, -5.632230882738016E+04,  2.043151725172118E-01, -8.680153024284346E-01, -4.587669176881696E-01,
2461132.750000000, A.D. 2026-Apr-02 06:00:00.0000, -3.819396478904253E+05, -7.888488720020381E+04, -5.687256212457147E+04,  2.073008390594498E-01, -8.674024937505158E-01, -4.583212085428249E-01,
2461132.763888889, A.D. 2026-Apr-02 06:20:00.0000, -3.816890970068829E+05, -7.992539848290355E+04, -5.742227804350189E+04,  2.102834565435770E-01, -8.667816370261974E-01, -4.578712884458374E-01,
2461132.777777778, A.D. 2026-Apr-02 06:40:00.0000, -3.814349688245342E+05, -8.096515991442314E+04, -5.797145153532828E+04,  2.132629994964748E-01, -8.661527436950516E-01, -4.574171645668033E-01,
2461132.791666667, A.D. 2026-Apr-02 07:00:00.0000, -3.811772670480676E+05, -8.200416185772752E+04, -5.852007755982850E+04,  2.162394425108353E-01, -8.655158252554398E-01, -4.569588441044146E-01,
2461132.805555556, A.D. 2026-Apr-02 07:20:00.0000, -3.809159954126210E+05, -8.304239468961477E+04, -5.906815108543620E+04,  2.192127602452882E-01, -8.648708932642066E-01, -4.564963342862892E-01,
2461132.819444444, A.D. 2026-Apr-02 07:40:00.0000, -3.806511576837019E+05, -8.407984880078620E+04, -5.961566708927546E+04,  2.221829274245278E-01, -8.642179593363747E-01, -4.560296423688018E-01,
2461132.833333333, A.D. 2026-Apr-02 08:00:00.0000, -3.803827576571087E+05, -8.511651459591580E+04, -6.016262055719518E+04,  2.251499188394382E-01, -8.635570351448407E-01, -4.555587756369150E-01,
2461132.847222222, A.D. 2026-Apr-02 08:20:00.0000, -3.801107991588510E+05, -8.615238249371975E+04, -6.070900648380328E+04,  2.281137093472156E-01, -8.628881324200692E-01, -4.550837414040093E-01,
2461132.861111111, A.D. 2026-Apr-02 08:40:00.0000, -3.798352860450697E+05, -8.718744292702504E+04, -6.125481987250067E+04,  2.310742738714890E-01, -8.622112629497891E-01, -4.546045470117145E-01,
2461132.875000000, A.D. 2026-Apr-02 09:00:00.0000, -3.795562222019577E+05, -8.822168634283815E+04, -6.180005573551514E+04,  2.340315874024394E-01, -8.615264385786862E-01, -4.541211998297403E-01,
2461132.888888889, A.D. 2026-Apr-02 09:20:00.0000, -3.792736115456793E+05, -8.925510320241333E+04, -6.234470909393485E+04,  2.369856249969155E-01, -8.608336712080991E-01, -4.536337072557063E-01,
2461132.902777778, A.D. 2026-Apr-02 09:40:00.0000, -3.789874580222911E+05, -9.028768398132012E+04, -6.288877497774178E+04,  2.399363617785496E-01, -8.601329727957147E-01, -4.531420767149744E-01,
2461132.916666667, A.D. 2026-Apr-02 10:00:00.0000, -3.786977656076606E+05, -9.131941916951108E+04, -6.343224842584493E+04,  2.428837729378693E-01, -8.594243553552607E-01, -4.526463156604781E-01,
2461132.930555556, A.D. 2026-Apr-02 10:20:00.0000, -3.784045383073870E+05, -9.235029927138858E+04, -6.397512448611321E+04,  2.458278337324088E-01, -8.587078309562014E-01, -4.521464315725547E-01,
2461132.944444444, A.D. 2026-Apr-02 10:40:00.0000, -3.781077801567198E+05, -9.338031480587175E+04, -6.451739821540835E+04,  2.487685194868175E-01, -8.579834117234321E-01, -4.516424319587756E-01,
2461132.958333333, A.D. 2026-Apr-02 11:00:00.0000, -3.778074952204788E+05, -9.440945630646261E+04, -6.505906467961742E+04,  2.517058055929667E-01, -8.572511098369737E-01, -4.511343243537775E-01,
2461132.972222222, A.D. 2026-Apr-02 11:20:00.0000, -3.775036875929732E+05, -9.543771432131223E+04, -6.560011895368519E+04,  2.546396675100543E-01, -8.565109375316663E-01, -4.506221163190939E-01,
2461132.986111111, A.D. 2026-Apr-02 11:40:00.0000, -3.771963613979205E+05, -9.646507941328610E+04, -6.614055612164632E+04,  2.575700807647078E-01, -8.557629070968648E-01, -4.501058154429861E-01,
2461133.000000000, A.D. 2026-Apr-02 12:00:00.0000, -3.768855207883661E+05, -9.749154216002960E+04, -6.668037127665736E+04,  2.604970209510844E-01, -8.550070308761323E-01, -4.495854293402742E-01,
2461133.013888889, A.D. 2026-Apr-02 12:20:00.0000, -3.765711699466015E+05, -9.851709315403271E+04, -6.721955952102847E+04,  2.634204637309709E-01, -8.542433212669357E-01, -4.490609656521695E-01,
2461133.027777778, A.D. 2026-Apr-02 12:40:00.0000, -3.762533130840835E+05, -9.954172300269458E+04, -6.775811596625503E+04,  2.663403848338792E-01, -8.534717907203400E-01, -4.485324320461047E-01,
2461133.041666667, A.D. 2026-Apr-02 13:00:00.0000, -3.759319544413529E+05, -1.005654223283876E+05, -6.829603573304899E+04,  2.692567600571423E-01, -8.526924517407017E-01, -4.479998362155669E-01,
2461133.055555556, A.D. 2026-Apr-02 13:20:00.0000, -3.756070982879530E+05, -1.015881817685213E+05, -6.883331395137002E+04,  2.721695652660063E-01, -8.519053168853656E-01, -4.474631858799284E-01,
2461133.069444444, A.D. 2026-Apr-02 13:40:00.0000, -3.752787489223479E+05, -1.026099919756055E+05, -6.936994576045648E+04,  2.750787763937217E-01, -8.511103987643571E-01, -4.469224887842785E-01,
2461133.083333333, A.D. 2026-Apr-02 14:00:00.0000, -3.749469106718409E+05, -1.036308436173137E+05, -6.990592630885620E+04,  2.779843694416322E-01, -8.503077100400800E-01, -4.463777526992564E-01,
2461133.097222222, A.D. 2026-Apr-02 14:20:00.0000, -3.746115878924930E+05, -1.046507273765455E+05, -7.044125075445701E+04,  2.808863204792613E-01, -8.494972634270083E-01, -4.458289854208826E-01,
2461133.111111111, A.D. 2026-Apr-02 14:40:00.0000, -3.742727849690406E+05, -1.056696339514888E+05, -7.097591426451714E+04,  2.837846056443977E-01, -8.486790716913836E-01, -4.452761947703906E-01,
2461133.125000000, A.D. 2026-Apr-02 15:00:00.0000, -3.739305063148139E+05, -1.066875540556822E+05, -7.150991201569527E+04,  2.866792011431783E-01, -8.478531476509086E-01, -4.447193885940612E-01,
2461133.138888889, A.D. 2026-Apr-02 15:20:00.0000, -3.735847563716546E+05, -1.077044784180759E+05, -7.204323919408068E+04,  2.895700832501685E-01, -8.470195041744443E-01, -4.441585747630527E-01,
2461133.152777778, A.D. 2026-Apr-02 15:40:00.0000, -3.732355396098339E+05, -1.087203977830937E+05, -7.257589099522274E+04,  2.924572283084423E-01, -8.461781541817034E-01, -4.435937611732353E-01,
2461133.166666667, A.D. 2026-Apr-02 16:00:00.0000, -3.728828605279700E+05, -1.097353029106930E+05, -7.310786262416076E+04,  2.953406127296584E-01, -8.453291106429467E-01, -4.430249557450229E-01,
2461133.180555556, A.D. 2026-Apr-02 16:20:00.0000, -3.725267236529463E+05, -1.107491845764259E+05, -7.363914929545305E+04,  2.982202129941360E-01, -8.444723865786800E-01, -4.424521664232069E-01,
2461133.194444444, A.D. 2026-Apr-02 16:40:00.0000, -3.721671335398281E+05, -1.117620335714991E+05, -7.416974623320630E+04,  3.010960056509276E-01, -8.436079950593475E-01, -4.418754011767889E-01,
2461133.208333333, A.D. 2026-Apr-02 17:00:00.0000, -3.718040947717809E+05, -1.127738407028337E+05, -7.469964867110440E+04,  3.039679673178904E-01, -8.427359492050300E-01, -4.412946679988137E-01,
2461133.222222222, A.D. 2026-Apr-02 17:20:00.0000, -3.714376119599873E+05, -1.137845967931243E+05, -7.522885185243729E+04,  3.068360746817558E-01, -8.418562621851410E-01, -4.407099749062040E-01,
2461133.236111111, A.D. 2026-Apr-02 17:40:00.0000, -3.710676897435646E+05, -1.147942926808985E+05, -7.575735103012939E+04,  3.097003044981959E-01, -8.409689472181221E-01, -4.401213299395931E-01,
2461133.250000000, A.D. 2026-Apr-02 18:00:00.0000, -3.706943327894817E+05, -1.158029192205752E+05, -7.628514146676807E+04,  3.125606335918903E-01, -8.400740175711406E-01, -4.395287411631589E-01,
2461133.263888889, A.D. 2026-Apr-02 18:20:00.0000, -3.703175457924766E+05, -1.168104672825228E+05, -7.681221843463175E+04,  3.154170388565878E-01, -8.391714865597864E-01, -4.389322166644584E-01,
2461133.277777778, A.D. 2026-Apr-02 18:40:00.0000, -3.699373334749732E+05, -1.178169277531177E+05, -7.733857721571786E+04,  3.182694972551697E-01, -8.382613675477683E-01, -4.383317645542619E-01,
2461133.291666667, A.D. 2026-Apr-02 19:00:00.0000, -3.695537005869988E+05, -1.188222915348012E+05, -7.786421310177060E+04,  3.211179858197081E-01, -8.373436739466131E-01, -4.377273929663872E-01,
2461133.305555556, A.D. 2026-Apr-02 19:20:00.0000, -3.691666519061000E+05, -1.198265495461369E+05, -7.838912139430849E+04,  3.239624816515239E-01, -8.364184192153614E-01, -4.371191100575350E-01,
2461133.319444444, A.D. 2026-Apr-02 19:40:00.0000, -3.687761922372609E+05, -1.208296927218679E+05, -7.891329740465176E+04,  3.268029619212430E-01, -8.354856168602675E-01, -4.365069240071230E-01,
2461133.333333333, A.D. 2026-Apr-02 20:00:00.0000, -3.683823264128187E+05, -1.218317120129727E+05, -7.943673645394944E+04,  3.296394038688498E-01, -8.345452804344954E-01, -4.358908430171219E-01,
2461133.347222222, A.D. 2026-Apr-02 20:20:00.0000, -3.679850592923816E+05, -1.228325983867217E+05, -7.995943387320645E+04,  3.324717848037385E-01, -8.335974235378197E-01, -4.352708753118903E-01,
2461133.361111111, A.D. 2026-Apr-02 20:40:00.0000, -3.675843957627443E+05, -1.238323428267329E+05, -8.048138500331024E+04,  3.353000821047646E-01, -8.326420598163233E-01, -4.346470291380104E-01,
2461133.375000000, A.D. 2026-Apr-02 21:00:00.0000, -3.671803407378053E+05, -1.248309363330272E+05, -8.100258519505739E+04,  3.381242732202911E-01, -8.316792029620962E-01, -4.340193127641243E-01,
2461133.388888889, A.D. 2026-Apr-02 21:20:00.0000, -3.667728991584835E+05, -1.258283699220834E+05, -8.152302980918004E+04,  3.409443356682365E-01, -8.307088667129349E-01, -4.333877344807696E-01,
2461133.402777778, A.D. 2026-Apr-02 21:40:00.0000, -3.663620759926345E+05, -1.268246346268929E+05, -8.204271421637206E+04,  3.437602470361178E-01, -8.297310648520443E-01, -4.327523026002163E-01,
2461133.416666667, A.D. 2026-Apr-02 22:00:00.0000, -3.659478762349669E+05, -1.278197214970143E+05, -8.256163379731495E+04,  3.465719849810935E-01, -8.287458112077346E-01, -4.321130254563029E-01,
2461133.430555556, A.D. 2026-Apr-02 22:20:00.0000, -3.655303049069592E+05, -1.288136215986268E+05, -8.307978394270367E+04,  3.493795272300039E-01, -8.277531196531250E-01, -4.314699114042742E-01,
2461133.444444444, A.D. 2026-Apr-02 22:40:00.0000, -3.651093670567757E+05, -1.298063260145841E+05, -8.359716005327227E+04,  3.521828515794097E-01, -8.267530041058420E-01, -4.308229688206175E-01,
2461133.458333333, A.D. 2026-Apr-02 23:00:00.0000, -3.646850677591828E+05, -1.307978258444679E+05, -8.411375753981924E+04,  3.549819358956294E-01, -8.257454785277227E-01, -4.301722061029006E-01,
2461133.472222222, A.D. 2026-Apr-02 23:20:00.0000, -3.642574121154659E+05, -1.317881122046401E+05, -8.462957182323273E+04,  3.577767581147725E-01, -8.247305569245152E-01, -4.295176316696098E-01,
2461133.486111111, A.D. 2026-Apr-02 23:40:00.0000, -3.638264052533447E+05, -1.327771762282959E+05, -8.514459833451550E+04,  3.605672962427747E-01, -8.237082533455804E-01, -4.288592539599874E-01,
2461133.500000000, A.D. 2026-Apr-03 00:00:00.0000, -3.633920523268903E+05, -1.337650090655157E+05, -8.565883251480982E+04,  3.633535283554274E-01, -8.226785818835970E-01, -4.281970814338704E-01,
2461133.513888889, A.D. 2026-Apr-03 00:20:00.0000, -3.629543585164406E+05, -1.347516018833170E+05, -8.617226981542203E+04,  3.661354325984074E-01, -8.216415566742603E-01, -4.275311225715290E-01,
2461133.527777778, A.D. 2026-Apr-03 00:40:00.0000, -3.625133290285167E+05, -1.357369458657058E+05, -8.668490569784696E+04,  3.689129871873048E-01, -8.205971918959896E-01, -4.268613858735056E-01,
2461133.541666667, A.D. 2026-Apr-03 01:00:00.0000, -3.620689690957394E+05, -1.367210322137276E+05, -8.719673563379217E+04,  3.716861704076479E-01, -8.195455017696284E-01, -4.261878798604541E-01,
2461133.555555556, A.D. 2026-Apr-03 01:20:00.0000, -3.616212839767445E+05, -1.377038521455183E+05, -8.770775510520201E+04,  3.744549606149272E-01, -8.184865005581519E-01, -4.255106130729793E-01,
2461133.569444444, A.D. 2026-Apr-03 01:40:00.0000, -3.611702789560995E+05, -1.386853968963544E+05, -8.821795960428144E+04,  3.772193362346175E-01, -8.174202025663693E-01, -4.248295940714770E-01,
2461133.583333333, A.D. 2026-Apr-03 02:00:00.0000, -3.607159593442192E+05, -1.396656577187034E+05, -8.872734463351969E+04,  3.799792757621976E-01, -8.163466221406297E-01, -4.241448314359740E-01,
2461133.597222222, A.D. 2026-Apr-03 02:20:00.0000, -3.602583304772818E+05, -1.406446258822728E+05, -8.923590570571371E+04,  3.827347577631685E-01, -8.152657736685279E-01, -4.234563337659689E-01,
2461133.611111111, A.D. 2026-Apr-03 02:40:00.0000, -3.597973977171449E+05, -1.416222926740602E+05, -8.974363834399149E+04,  3.854857608730703E-01, -8.141776715786108E-01, -4.227641096802725E-01,
2461133.625000000, A.D. 2026-Apr-03 03:00:00.0000, -3.593331664512616E+05, -1.425986493984016E+05, -9.025053808183504E+04,  3.882322637974962E-01, -8.130823303400830E-01, -4.220681678168499E-01,
2461133.638888889, A.D. 2026-Apr-03 03:20:00.0000, -3.588656420925959E+05, -1.435736873770203E+05, -9.075660046310337E+04,  3.909742453121054E-01, -8.119797644625150E-01, -4.213685168326609E-01,
2461133.652777778, A.D. 2026-Apr-03 03:40:00.0000, -3.583948300795391E+05, -1.445473979490753E+05, -9.126182104205518E+04,  3.937116842626344E-01, -8.108699884955498E-01, -4.206651654035031E-01,
2461133.666666667, A.D. 2026-Apr-03 04:00:00.0000, -3.579207358758257E+05, -1.455197724712091E+05, -9.176619538337133E+04,  3.964445595649060E-01, -8.097530170286127E-01, -4.199581222238531E-01,
2461133.680555556, A.D. 2026-Apr-03 04:20:00.0000, -3.574433649704492E+05, -1.464908023175950E+05, -9.226971906217719E+04,  3.991728502048360E-01, -8.086288646906181E-01, -4.192473960067101E-01,
2461133.694444444, A.D. 2026-Apr-03 04:40:00.0000, -3.569627228775776E+05, -1.474604788799849E+05, -9.277238766406474E+04,  4.018965352384400E-01, -8.074975461496801E-01, -4.185329954834378E-01,
2461133.708333333, A.D. 2026-Apr-03 05:00:00.0000, -3.564788151364700E+05, -1.484287935677554E+05, -9.327419678511457E+04,  4.046155937918365E-01, -8.063590761128220E-01, -4.178149294036091E-01,
2461133.722222222, A.D. 2026-Apr-03 05:20:00.0000, -3.559916473113917E+05, -1.493957378079550E+05, -9.377514203191760E+04,  4.073300050612484E-01, -8.052134693256862E-01, -4.170932065348485E-01,
